,,Número de sucessos,,,,,,,,,,Número de sucessos,,,,,,,,,
Número de d20,DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10),DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10)
16,,100.00% (00.01%),99.99% (00.02%),99.97% (00.07%),99.90% (00.19%),99.71% (00.48%),99.23% (01.10%),98.13% (02.29%),95.85% (04.28%),91.57% (07.18%),84.39% (10.70%),,100.00% (00.00%),100.00% (00.01%),99.99% (00.03%),99.96% (00.08%),99.89% (00.21%),99.68% (00.52%),99.16% (01.17%),97.99% (02.43%),95.56% (04.54%),91.02% (07.62%)
17,,100.00% (00.00%),99.99% (00.01%),99.98% (00.04%),99.94% (00.11%),99.83% (00.29%),99.55% (00.68%),98.87% (01.46%),97.40% (02.87%),94.53% (05.08%),89.45% (08.08%),,100.00% (00.00%),100.00% (00.00%),99.99% (00.01%),99.98% (00.04%),99.94% (00.12%),99.82% (00.29%),99.53% (00.69%),98.83% (01.50%),97.34% (02.94%),94.40% (05.24%)
18,,100.00% (00.00%),100.00% (00.01%),99.99% (00.02%),99.97% (00.06%),99.90% (00.17%),99.73% (00.41%),99.32% (00.93%),98.39% (01.89%),96.51% (03.50%),93.00% (05.89%),,100.00% (00.00%),100.00% (00.00%),100.00% (00.01%),99.99% (00.02%),99.97% (00.06%),99.90% (00.17%),99.74% (00.41%),99.33% (00.91%),98.42% (01.86%),96.56% (03.49%)
1,4,85.00% (80.00%),05.00% (05.00%),,,,,,,,,3,90.00% (85.00%),05.00% (05.00%),,,,,,,,
2,,89.75% (16.50%),73.25% (65.00%),08.25% (08.00%),00.25% (00.25%),,,,,,,,90.50% (09.00%),81.50% (72.75%),08.75% (08.50%),00.25% (00.25%),,,,,,
3,,96.63% (12.15%),84.48% (20.55%),63.93% (53.64%),10.29% (09.68%),00.61% (00.60%),00.01% (00.01%),,,,,,97.95% (11.55%),86.40% (12.15%),74.25% (62.72%),11.53% (10.88%),00.65% (00.64%),00.01% (00.01%),,,,
4,,98.21% (04.31%),93.90% (14.58%),79.32% (22.90%),56.42% (44.94%),11.49% (10.48%),01.01% (00.97%),00.04% (00.04%),,,,,98.60% (02.35%),96.25% (13.63%),82.63% (14.59%),68.04% (54.50%),13.54% (12.41%),01.13% (01.09%),00.04% (00.04%),,,
5,,99.25% (02.35%),96.91% (06.12%),90.79% (16.42%),74.37% (24.06%),50.30% (38.19%),12.11% (10.73%),01.38% (01.30%),00.08% (00.08%),,,,99.59% (01.84%),97.74% (03.46%),94.28% (15.15%),79.12% (16.42%),62.70% (47.73%),14.97% (13.33%),01.64% (01.55%),00.09% (00.09%),,
6,,99.63% (01.01%),98.63% (03.34%),95.29% (07.86%),87.43% (17.76%),69.67% (24.43%),45.24% (32.89%),12.35% (10.63%),01.72% (01.58%),00.14% (00.13%),00.01% (00.01%),,99.76% (00.52%),99.24% (02.51%),96.73% (04.62%),92.12% (16.26%),75.85% (17.77%),58.08% (42.13%),15.95% (13.80%),02.15% (01.99%),00.16% (00.15%),00.01% (00.01%)
7,,99.83% (00.50%),99.33% (01.55%),97.78% (04.40%),93.39% (09.45%),83.93% (18.69%),65.25% (24.25%),41.00% (28.68%),12.32% (10.31%),02.01% (01.81%),00.20% (00.18%),,99.92% (00.32%),99.60% (00.81%),98.79% (03.20%),95.58% (05.75%),89.83% (17.05%),72.78% (18.72%),54.07% (37.49%),16.57% (13.94%),02.63% (02.39%),00.24% (00.23%)
8,,99.92% (00.23%),99.69% (00.78%),98.90% (02.18%),96.73% (05.47%),91.25% (10.86%),80.39% (19.28%),61.11% (23.72%),37.39% (25.28%),12.12% (09.87%),02.24% (01.98%),,99.96% (00.11%),99.85% (00.48%),99.37% (01.15%),98.22% (03.90%),94.32% (06.84%),87.48% (17.59%),69.89% (19.33%),50.56% (33.62%),16.94% (13.86%),03.08% (02.74%)
9,,99.96% (00.11%),99.85% (00.38%),99.47% (01.13%),98.34% (02.87%),95.47% (06.54%),88.93% (12.08%),76.86% (19.60%),57.25% (22.96%),34.29% (22.49%),11.80% (09.37%),,99.98% (00.06%),99.92% (00.18%),99.75% (00.66%),99.08% (01.54%),97.54% (04.60%),92.95% (07.85%),85.09% (17.94%),67.15% (19.69%),47.47% (30.37%),17.09% (13.61%)
10,,99.98% (00.05%),99.93% (00.19%),99.74% (00.56%),99.18% (01.54%),97.64% (03.61%),94.03% (07.56%),86.47% (13.10%),73.37% (19.71%),53.66% (22.07%),31.60% (20.19%),,99.99% (00.02%),99.97% (00.09%),99.88% (00.26%),99.61% (00.88%),98.73% (01.96%),96.77% (05.27%),91.49% (08.79%),82.71% (18.15%),64.56% (19.83%),44.73% (27.63%)
11,,99.99% (00.03%),99.96% (00.09%),99.87% (00.29%),99.59% (00.79%),98.80% (02.00%),96.80% (04.38%),92.42% (08.52%),83.90% (13.93%),69.97% (19.64%),50.33% (21.10%),,100.00% (00.01%),99.99% (00.04%),99.95% (00.14%),99.81% (00.37%),99.44% (01.12%),98.32% (02.42%),95.90% (05.93%),89.97% (09.63%),80.34% (18.24%),62.11% (19.81%)
12,,100.00% (00.01%),99.98% (00.04%),99.94% (00.14%),99.80% (00.41%),99.38% (01.07%),98.32% (02.50%),95.82% (05.15%),90.67% (09.41%),81.25% (14.59%),66.66% (19.43%),,100.00% (00.00%),99.99% (00.02%),99.98% (00.06%),99.92% (00.19%),99.72% (00.50%),99.23% (01.39%),97.84% (02.89%),94.95% (06.55%),88.39% (10.38%),78.01% (18.24%)
13,,100.00% (00.01%),99.99% (00.02%),99.97% (00.07%),99.90% (00.21%),99.69% (00.57%),99.12% (01.38%),97.74% (03.04%),94.70% (05.92%),88.78% (10.22%),78.56% (15.09%),,100.00% (00.00%),100.00% (00.01%),99.99% (00.03%),99.96% (00.08%),99.88% (00.26%),99.61% (00.65%),98.97% (01.68%),97.29% (03.37%),93.92% (07.15%),86.77% (11.05%)
14,,100.00% (00.00%),100.00% (00.01%),99.99% (00.04%),99.95% (00.11%),99.84% (00.30%),99.54% (00.76%),98.79% (01.73%),97.05% (03.60%),93.45% (06.66%),86.79% (10.94%),,100.00% (00.00%),100.00% (00.00%),99.99% (00.01%),99.98% (00.04%),99.94% (00.12%),99.82% (00.34%),99.48% (00.82%),98.66% (01.99%),96.68% (03.86%),92.82% (07.70%)
15,,100.00% (00.00%),100.00% (00.01%),99.99% (00.02%),99.98% (00.05%),99.92% (00.16%),99.77% (00.41%),99.36% (00.97%),98.39% (02.12%),96.27% (04.18%),92.09% (07.37%),,100.00% (00.00%),100.00% (00.00%),100.00% (00.01%),99.99% (00.02%),99.97% (00.06%),99.91% (00.16%),99.75% (00.44%),99.31% (01.00%),98.31% (02.31%),96.01% (04.35%)
16,,100.00% (00.00%),100.00% (00.00%),100.00% (00.01%),99.99% (00.03%),99.96% (00.08%),99.88% (00.22%),99.66% (00.54%),99.13% (01.22%),97.91% (02.53%),95.38% (04.77%),,100.00% (00.00%),100.00% (00.00%),100.00% (00.00%),100.00% (00.01%),99.99% (00.03%),99.96% (00.08%),99.88% (00.21%),99.67% (00.55%),99.12% (01.21%),97.91% (02.64%)
17,,100.00% (00.00%),100.00% (00.00%),100.00% (00.00%),99.99% (00.01%),99.98% (00.04%),99.94% (00.11%),99.82% (00.29%),99.53% (00.69%),98.84% (01.49%),97.35% (02.96%),,100.00% (00.00%),100.00% (00.00%),100.00% (00.00%),100.00% (00.00%),99.99% (00.01%),99.98% (00.04%),99.94% (00.11%),99.83% (00.27%),99.56% (00.67%),98.90% (01.43%)
18,,100.00% (00.00%),100.00% (00.00%),100.00% (00.00%),100.00% (00.01%),99.99% (00.02%),99.97% (00.06%),99.91% (00.16%),99.75% (00.38%),99.37% (00.86%),98.51% (01.79%),,100.00% (00.00%),100.00% (00.00%),100.00% (00.00%),100.00% (00.00%),100.00% (00.01%),99.99% (00.02%),99.97% (00.05%),99.92% (00.14%),99.78% (00.34%),99.44% (00.80%)
