,,Número de sucessos,,,,,,,,,,Número de sucessos,,,,,,,,,
Número de d20,DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10),DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10)
10,,68.40% (22.07%),46.34% (19.71%),26.63% (13.10%),13.53% (07.56%),05.97% (03.61%),02.36% (01.54%),00.82% (00.56%),00.26% (00.19%),00.07% (00.05%),00.02% (00.01%),,78.06% (20.35%),57.70% (20.82%),36.88% (16.41%),20.46% (10.57%),09.90% (05.70%),04.20% (02.63%),01.57% (01.05%),00.52% (00.37%),00.15% (00.11%),00.04% (00.03%)
11,,70.77% (21.10%),49.67% (19.64%),30.03% (13.93%),16.10% (08.52%),07.58% (04.38%),03.20% (02.00%),01.20% (00.79%),00.41% (00.29%),00.13% (00.09%),00.04% (00.03%),,80.21% (18.76%),61.45% (20.21%),41.24% (16.98%),24.26% (11.71%),12.55% (06.81%),05.74% (03.41%),02.33% (01.49%),00.84% (00.57%),00.27% (00.19%),00.08% (00.06%)
12,,72.87% (20.10%),52.76% (19.43%),33.34% (14.59%),18.75% (09.41%),09.33% (05.15%),04.18% (02.50%),01.68% (01.07%),00.62% (00.41%),00.20% (00.14%),00.06% (00.04%),,82.10% (17.27%),64.83% (19.46%),45.37% (17.29%),28.08% (12.68%),15.40% (07.88%),07.51% (04.24%),03.28% (01.99%),01.28% (00.83%),00.45% (00.31%),00.14% (00.10%)
13,,74.74% (19.10%),55.64% (19.11%),36.53% (15.09%),21.44% (10.22%),11.22% (05.92%),05.30% (03.04%),02.26% (01.38%),00.88% (00.57%),00.31% (00.21%),00.10% (00.07%),,83.76% (15.87%),67.88% (18.62%),49.26% (17.38%),31.88% (13.47%),18.40% (08.89%),09.51% (05.09%),04.42% (02.57%),01.85% (01.15%),00.70% (00.46%),00.24% (00.17%)
14,,76.43% (18.12%),58.31% (18.71%),39.59% (15.45%),24.14% (10.94%),13.21% (06.66%),06.55% (03.60%),02.95% (01.73%),01.21% (00.76%),00.46% (00.30%),00.16% (00.11%),,85.23% (14.59%),70.64% (17.73%),52.91% (17.30%),35.61% (14.09%),21.52% (09.81%),11.71% (05.96%),05.75% (03.19%),02.56% (01.52%),01.04% (00.65%),00.38% (00.25%)
15,,77.96% (17.17%),60.79% (18.25%),42.53% (15.68%),26.85% (11.56%),15.29% (07.37%),07.91% (04.18%),03.73% (02.12%),01.61% (00.97%),00.64% (00.41%),00.23% (00.16%),,86.53% (13.41%),73.13% (16.81%),56.32% (17.07%),39.25% (14.54%),24.72% (10.64%),14.08% (06.80%),07.28% (03.85%),03.42% (01.95%),01.47% (00.89%),00.58% (00.37%)
16,,79.35% (16.26%),63.09% (17.75%),45.35% (15.81%),29.54% (12.10%),17.44% (08.05%),09.39% (04.77%),04.62% (02.53%),02.09% (01.22%),00.87% (00.54%),00.34% (00.22%),,87.70% (12.32%),75.38% (15.88%),59.50% (16.72%),42.78% (14.84%),27.94% (11.35%),16.59% (07.62%),08.98% (04.54%),04.44% (02.43%),02.01% (01.17%),00.84% (00.52%)
17,,80.62% (15.38%),65.24% (17.21%),48.03% (15.84%),32.19% (12.55%),19.64% (08.68%),10.96% (05.35%),05.61% (02.96%),02.65% (01.49%),01.16% (00.69%),00.47% (00.29%),,88.75% (11.33%),77.43% (14.97%),62.46% (16.28%),46.18% (15.00%),31.18% (11.96%),19.22% (08.38%),10.84% (05.24%),05.60% (02.94%),02.66% (01.50%),01.17% (00.69%)
18,,81.79% (14.55%),67.24% (16.65%),50.59% (15.79%),34.80% (12.92%),21.88% (09.26%),12.63% (05.92%),06.70% (03.42%),03.29% (01.79%),01.49% (00.86%),00.63% (00.38%),,89.70% (10.42%),79.28% (14.08%),65.20% (15.77%),49.43% (15.04%),34.40% (12.45%),21.95% (09.09%),12.85% (05.93%),06.92% (03.49%),03.44% (01.86%),01.58% (00.91%)
1,16,25.00% (20.00%),05.00% (05.00%),,,,,,,,,15,30.00% (25.00%),05.00% (05.00%),,,,,,,,
2,,41.75% (28.50%),13.25% (11.00%),02.25% (02.00%),00.25% (00.25%),,,,,,,,48.50% (33.00%),15.50% (12.75%),02.75% (02.50%),00.25% (00.25%),,,,,,
3,,53.42% (31.05%),22.37% (16.05%),06.33% (05.04%),01.29% (01.13%),00.16% (00.15%),00.01% (00.01%),,,,,,60.60% (33.60%),27.00% (18.90%),08.10% (06.48%),01.62% (01.43%),00.20% (00.19%),00.01% (00.01%),,,,
4,,61.88% (30.62%),31.26% (19.62%),11.64% (08.34%),03.29% (02.60%),00.69% (00.58%),00.11% (00.10%),00.01% (00.01%),,,,,68.96% (31.21%),37.75% (22.63%),15.13% (10.69%),04.44% (03.50%),00.94% (00.80%),00.14% (00.13%),00.01% (00.01%),,,
5,,68.23% (28.79%),39.44% (21.78%),17.66% (11.43%),06.23% (04.50%),01.73% (01.35%),00.38% (00.31%),00.06% (00.06%),00.01% (00.01%),,,,75.01% (27.81%),47.20% (24.26%),22.94% (14.34%),08.60% (06.12%),02.49% (01.94%),00.55% (00.46%),00.09% (00.08%),00.01% (00.01%),,
6,,73.14% (26.39%),46.75% (22.78%),23.97% (14.02%),09.95% (06.59%),03.36% (02.43%),00.92% (00.72%),00.21% (00.17%),00.04% (00.03%),00.01% (00.00%),,,79.56% (24.29%),55.28% (24.39%),30.89% (17.08%),13.81% (08.87%),04.94% (03.53%),01.41% (01.09%),00.32% (00.26%),00.06% (00.05%),00.01% (00.01%),
7,,77.05% (23.85%),53.19% (22.91%),30.28% (16.02%),14.27% (08.68%),05.58% (03.76%),01.83% (01.33%),00.50% (00.39%),00.11% (00.09%),00.02% (00.02%),,,83.09% (21.00%),62.10% (23.53%),38.57% (18.86%),19.71% (11.43%),08.28% (05.42%),02.86% (02.05%),00.81% (00.62%),00.19% (00.15%),00.04% (00.03%),00.01% (00.00%)
8,,80.22% (21.39%),58.83% (22.43%),36.40% (17.42%),18.98% (10.61%),08.37% (05.23%),03.13% (02.13%),01.00% (00.73%),00.27% (00.21%),00.06% (00.05%),00.01% (00.01%),,85.89% (18.06%),67.83% (22.09%),45.73% (19.76%),25.97% (13.59%),12.38% (07.43%),04.96% (03.29%),01.67% (01.20%),00.47% (00.36%),00.11% (00.09%),00.02% (00.02%)
9,,82.84% (19.09%),63.75% (21.54%),42.21% (18.28%),23.93% (12.30%),11.63% (06.76%),04.87% (03.11%),01.76% (01.21%),00.55% (00.40%),00.15% (00.11%),00.03% (00.03%),,88.15% (15.51%),72.64% (20.36%),52.28% (19.95%),32.33% (15.25%),17.08% (09.38%),07.70% (04.73%),02.96% (01.99%),00.98% (00.70%),00.27% (00.21%),00.07% (00.05%)
10,,85.04% (17.01%),68.03% (20.40%),47.63% (18.67%),28.96% (13.68%),15.28% (08.26%),07.02% (04.20%),02.81% (01.83%),00.99% (00.68%),00.30% (00.22%),00.08% (00.06%),,89.99% (13.30%),76.69% (18.52%),58.17% (19.60%),38.57% (16.39%),22.18% (11.14%),11.04% (06.28%),04.75% (02.98%),01.77% (01.20%),00.57% (00.41%),00.16% (00.12%)
